Gene	Cancer_Gene	GO_cell.death	GO_cell.differentiation	GO_cell.proliferation	GO_mitototic.cell.cycle	HumanNet.CGS_L1	HumanNet.CGS_L2	InteractNet.CGS_L1	InteractNet.CGS_L2	ReguleNet.DEG_score	DEG_score
C16ORF70	0	0	0	0	0	0	0	0	7	0	0
C16ORF72	0	0	0	0	0	0	0	0	2	0	0
C16ORF74	0	0	0	0	0	0	0	0	6	0	0
C16ORF75	0	0	0	0	0	0	0	0	7	0	0
C16ORF79	0	0	0	0	0	0	0	0	1	0	0
C16ORF80	0	0	0	0	0	0	0	0	17	0	0
C16ORF87	0	0	0	0	0	0	0	0	0	0	0
C16orf45	0	0	1	0	0	0	0	1	10	0	0
C16orf48	0	0	0	0	0	0	0	0	6	0	0
C16orf5	0	0	0	0	0	0	0	0	2	0	0
C16orf58	0	0	0	0	0	0	0	0	3	0	0
C16orf59	0	0	0	0	0	0	0	0	13	0	0
C16orf70	0	0	0	0	0	0	0	0	5	0	0
C16orf72	0	0	0	0	0	0	0	0	2	0	0
C16orf74	0	0	0	0	0	0	0	0	6	0	0
C16orf80	0	0	0	0	0	18	203	0	0	0	0
C16orf87	0	0	0	0	0	0	0	0	0	0	0
C17ORF103	0	0	0	0	0	0	0	0	22	0	0
C17ORF28	0	0	0	0	0	0	0	0	13	0	0
C17ORF42	0	0	0	0	0	0	0	0	1	0	0
C17ORF49	0	0	0	0	0	0	0	0	3	0	0
C17ORF53	0	0	0	0	0	0	0	0	15	0	0
C17ORF59	0	0	0	0	0	0	0	0	8	0	0
C17ORF61	0	0	0	0	0	0	0	0	1	0	0
C17ORF62	0	0	0	0	0	0	0	0	5	0	0
C17ORF67	0	0	0	0	0	0	0	1	5	0	0
C17ORF70	0	0	0	0	0	0	0	2	29	0	0
C17ORF76-AS1	0	0	0	0	0	0	0	0	6	0	0
C17ORF79	0	0	0	0	0	0	0	0	21	0	0
C17ORF81	0	0	0	0	0	0	0	0	14	0	0
C17ORF82	0	0	0	0	0	0	0	0	40	0	0
C17ORF85	0	0	0	0	0	0	0	0	8	0	0
C17ORF97	0	0	0	0	0	0	0	0	4	0	0
C17orf103	0	0	0	0	0	0	0	0	7	0	0
C17orf59	0	0	0	0	0	0	0	0	8	0	0
C17orf62	0	0	0	0	0	0	0	1	14	0	0
C17orf67	0	0	0	0	0	0	0	1	5	0	0
C17orf70	0	0	0	0	0	0	0	0	15	0	0
C17orf82	0	0	0	0	0	0	0	0	12	0	0
C18ORF10	0	0	0	0	0	0	0	1	14	0	0
C18ORF19	0	0	0	0	0	0	0	0	2	0	0
C18ORF20	0	0	0	0	0	0	0	0	2	0	0
C18ORF22	0	0	0	0	0	0	0	0	1	0	0
C18ORF25	0	0	0	0	0	0	0	0	45	0	0
C18ORF45	0	0	0	0	0	0	0	0	10	0	0
C18ORF54	0	0	0	0	0	0	0	0	24	0	0
C18ORF56	0	0	0	0	0	0	0	0	21	0	0
C18ORF8	0	0	0	0	0	0	0	0	2	0	0
C18orf25	0	0	0	0	0	0	0	0	26	0	0
C18orf54	0	0	0	0	0	0	0	0	7	0	0
C19ORF10	0	0	0	0	0	0	0	0	18	0	0
C19ORF12	0	0	0	0	0	0	0	0	22	0	0
C19ORF2	0	0	0	0	0	0	0	0	41	0	0
C19ORF25	0	0	0	0	0	0	0	0	12	0	0
C19ORF29	0	0	0	0	0	0	0	0	6	0	0
C19ORF40	0	0	0	0	0	0	0	2	32	0	0
C19ORF43	0	0	0	0	0	0	0	0	3	0	0
C19ORF44	0	0	0	0	0	0	0	0	151	0	0
C19ORF46	0	0	0	0	0	0	0	1	52	0	0
C19ORF47	0	0	0	0	0	0	0	0	0	0	0
C19ORF50	0	0	0	0	0	0	0	2	47	0	0
C19ORF52	0	0	0	0	0	0	0	0	0	0	0
C19ORF53	0	0	0	0	0	0	0	0	144	0	0
C19ORF57	0	0	0	0	0	0	0	2	74	0	0
C19ORF6	0	0	0	0	0	0	0	0	0	0	0
C19ORF60	0	0	0	0	0	0	0	0	39	0	0
C19ORF62	0	0	0	0	0	0	0	2	182	0	0
C19ORF66	0	0	0	0	0	0	0	2	84	0	0
C19ORF68	0	0	0	0	0	0	0	0	15	0	0
C19ORF73	0	0	0	0	0	0	0	0	3	0	0
C19ORF80	0	0	0	0	0	0	0	0	5	0	0
C19orf10	0	0	0	0	0	0	0	0	7	0	0
C19orf12	0	0	0	0	0	0	0	0	22	0	0
C19orf25	0	0	0	0	0	0	0	0	8	0	0
C19orf40	0	0	0	0	0	0	0	0	7	0	0
C19orf44	0	0	0	0	0	0	0	0	4	0	0
C19orf46	0	0	0	0	0	0	0	0	1	0	0
C19orf47	0	0	0	0	0	0	0	0	0	0	0
C19orf57	0	0	0	0	0	0	0	0	57	0	0
C19orf66	0	0	0	0	0	0	0	2	73	0	0
C19orf68	0	0	0	0	0	0	0	0	7	0	0
C19orf73	0	0	0	0	0	0	0	0	17	0	0
C19orf80	0	0	1	1	0	0	0	0	5	0	0
C1D	0	1	0	0	0	0	0	0	18	0.116	0.116
C1GALT1	0	0	1	0	0	0	0	0	3	0	0
C1GALT1C1	0	0	1	0	0	0	0	0	3	0	0
C1ORF103	0	0	0	0	0	0	0	6	152	0	0
C1ORF105	0	0	0	0	0	0	0	0	8	0	0
C1ORF107	0	0	0	0	0	0	0	0	7	0	0
C1ORF109	0	0	0	0	0	0	0	5	91	0	0
C1ORF111	0	0	0	0	0	0	0	0	7	0	0
C1ORF114	0	0	0	0	0	0	0	0	17	0	0
C1ORF116	0	0	0	0	0	0	0	0	0	0	0
C1ORF122	0	0	0	0	0	0	0	0	5	0	0
C1ORF123	0	0	0	0	0	0	0	0	24	0	0
C1ORF124	0	0	0	0	0	0	0	0	4	0	0
C1ORF128	0	0	0	0	0	0	0	1	6	0	0
C1ORF135	0	0	0	0	0	0	0	0	7	0	0
C1ORF156	0	0	0	0	0	0	0	0	1	0	0
C1ORF174	0	0	0	0	0	0	0	1	40	0	0
C1ORF182	0	0	0	0	0	0	0	0	19	0	0
C1ORF189	0	0	0	0	0	0	0	0	6	0	0
C1ORF190	0	0	0	0	0	0	0	0	14	0	0
C1ORF21	0	0	0	0	0	0	0	0	0	0	0
C1ORF216	0	0	0	0	0	0	0	1	57	0	0
C1ORF25	0	0	0	0	0	0	0	1	162	0	0
C1ORF35	0	0	0	0	0	0	0	0	172	0	0
C1ORF38	0	0	0	0	0	0	0	0	8	0	0
C1ORF49	0	0	0	0	0	0	0	0	30	0	0
C1ORF50	0	0	0	0	0	0	0	0	8	0	0
C1ORF51	0	0	0	0	0	0	0	0	2	0	0
C1ORF55	0	0	0	0	0	0	0	0	9	0	0
C1ORF57	0	0	0	0	0	0	0	0	20	0	0
C1ORF59	0	0	0	0	0	0	0	0	144	0	0
C1ORF63	0	0	0	0	0	0	0	0	15	0	0
C1ORF65	0	0	0	0	0	0	0	0	27	0	0
C1ORF77	0	0	0	0	0	0	0	0	144	0	0
C1ORF85	0	0	0	0	0	0	0	0	3	0	0
C1ORF89	0	0	0	0	0	0	0	0	0	0	0
C1ORF9	0	0	0	0	0	0	0	0	144	0	0
C1ORF94	0	0	0	0	0	0	0	2	145	0	0
C1QA	0	0	0	0	0	4	195	0	46	0.35	0.35
C1QB	0	0	0	0	0	0	0	0	23	0.031	0.031
C1QBP	0	1	1	0	0	10	181	2	203	0.866	0.866
C1QC	0	0	1	0	0	0	0	0	0	0.35	0.35
C1QTNF1	0	0	0	0	0	0	0	0	22	0.913	0.913
C1QTNF2	0	0	0	0	0	0	0	0	13	0.85	0.85
C1QTNF6	0	0	0	0	0	0	0	0	7	0	0
C1QTNF9	0	0	0	0	0	0	0	0	20	0	0
C1QTNF9B-AS1	0	0	0	0	0	0	0	0	8	0	0
C1R	0	0	0	0	0	0	0	1	61	0.904	0.904
C1S	0	0	0	0	0	0	0	0	1	0.861	0.861
C1orf105	0	0	0	0	0	0	0	0	8	0	0
C1orf109	0	0	0	0	0	0	0	5	92	0	0
C1orf111	0	0	0	0	0	0	0	0	6	0	0
C1orf116	0	0	0	0	0	0	0	0	0	0	0
C1orf174	0	0	0	0	0	0	0	1	4	0	0
C1orf189	0	0	0	0	0	0	0	0	6	0	0
C1orf21	0	0	0	0	0	0	0	0	0	0	0
C1orf216	0	0	0	0	0	0	0	1	55	0	0
C1orf35	0	0	0	0	0	0	0	0	25	0	0
C1orf50	0	0	0	0	0	0	0	0	8	0	0
C1orf94	0	0	0	0	0	0	0	2	139	0	0
C2	0	0	0	0	0	0	0	0	2	0.68	0.68
C20ORF11	0	0	0	0	0	0	0	0	13	0	0
C20ORF112	0	0	0	0	0	0	0	0	14	0	0
C20ORF117	0	0	0	0	0	0	0	0	6	0	0
C20ORF141	0	0	0	0	0	0	0	0	4	0	0
C20ORF160	0	0	0	0	0	0	0	0	0	0	0
C20ORF185	0	0	0	0	0	0	0	0	20	0	0
C20ORF194	0	0	0	0	0	0	0	0	33	0	0
C20ORF195	0	0	0	0	0	0	0	2	60	0	0
C20ORF196	0	0	0	0	0	0	0	0	15	0	0
C20ORF20	0	0	0	0	0	0	0	2	111	0	0
C20ORF24	0	0	0	0	0	0	0	0	17	0	0
C20ORF27	0	0	0	0	0	0	0	0	34	0	0
C20ORF3	0	0	0	0	0	0	0	0	39	0	0
C20ORF30	0	0	0	0	0	0	0	0	7	0	0
C20ORF4	0	0	0	0	0	0	0	0	144	0	0
C20ORF43	0	0	0	0	0	0	0	0	7	0	0
C20ORF72	0	0	0	0	0	0	0	0	7	0	0
C20ORF94	0	0	0	0	0	0	0	2	42	0	0
C20orf112	0	0	0	0	0	0	0	0	12	0	0
C20orf195	0	0	0	0	0	0	0	2	58	0	0
C21ORF119	0	0	0	0	0	0	0	0	11	0	0
C21ORF2	0	0	0	0	0	0	0	0	2	0	0
C21ORF33	0	0	0	0	0	0	0	0	1	0	0
C21ORF56	0	0	0	0	0	0	0	2	42	0	0
C21ORF58	0	0	0	0	0	0	0	0	64	0	0
C21ORF59	0	0	0	0	0	0	0	0	10	0	0
C21ORF63	0	0	0	0	0	0	0	0	2	0	0
C21ORF67	0	0	0	0	0	0	0	0	16	0	0
C21ORF7	0	0	0	0	0	0	0	1	17	0	0
C21ORF91	0	0	0	0	0	0	0	0	61	0	0
C21orf2	0	0	0	0	0	0	0	0	2	0	0
C21orf56	0	0	0	0	0	0	0	0	1	0	0
C21orf58	0	0	0	0	0	0	0	0	5	0	0
C22ORF13	0	0	0	0	0	0	0	0	18	0	0
C22ORF23	0	0	0	0	0	0	0	0	3	0	0
C22ORF28	0	0	0	0	0	0	0	0	157	0	0
C22ORF30	0	0	0	0	0	0	0	1	18	0	0
C22ORF39	0	0	0	0	0	0	0	0	24	0	0
C22ORF40	0	0	0	0	0	0	0	0	1	0	0
C22ORF43	0	0	0	0	0	0	0	0	4	0	0
C22ORF46	0	0	0	0	0	0	0	1	27	0	0
C22ORF9	0	0	0	0	0	0	0	0	45	0	0
C22orf23	0	0	0	0	0	0	0	0	3	0	0
C22orf39	0	0	0	0	0	0	0	0	24	0	0
C22orf46	0	0	0	0	0	0	0	0	11	0	0
C2ORF18	0	0	0	0	0	0	0	1	9	0	0
C2ORF27B	0	0	0	0	0	0	0	0	11	0	0
C2ORF28	0	0	0	0	0	0	0	1	2	0	0
C2ORF42	0	0	0	0	0	0	0	0	2	0	0
C2ORF44	0	0	0	0	0	0	0	1	53	0	0
C2ORF50	0	0	0	0	0	0	0	0	0	0	0
C2ORF51	0	0	0	0	0	0	0	0	23	0	0
C2ORF57	0	0	0	0	0	0	0	0	0	0	0
C2ORF62	0	0	0	0	0	0	0	0	7	0	0
C2ORF63	0	0	0	0	0	0	0	1	19	0	0
C2ORF65	0	0	0	0	0	0	0	0	2	0	0
C2ORF73	0	0	0	0	0	0	0	0	5	0	0
C2ORF74	0	0	0	0	0	0	0	1	9	0	0
C2ORF88	0	0	0	0	0	0	0	1	28	0	0
C2orf42	0	0	0	0	0	0	0	0	2	0	0
C2orf44	1	0	0	0	0	1	1	1	5	0	0
C2orf50	0	0	0	0	0	0	0	0	0	0	0
C2orf57	0	0	0	0	0	0	0	0	0	0	0
C2orf88	0	0	0	0	0	0	0	0	5	0	0
C3	0	0	0	0	0	1	147	0	5	0.903	0.903
C3AR1	0	0	0	1	0	4	208	0	0	0	0
C3ORF1	0	0	0	0	0	0	0	0	6	0	0
C3ORF15	0	0	0	0	0	0	0	0	3	0	0
C3ORF17	0	0	0	0	0	0	0	0	146	0	0
C3ORF19	0	0	0	0	0	0	0	0	0	0	0
C3ORF25	0	0	0	0	0	0	0	0	6	0	0
C3ORF26	0	0	0	0	0	0	0	0	2	0	0
C3ORF34	0	0	0	0	0	0	0	0	2	0	0
C3ORF38	0	0	0	0	0	0	0	0	0	0	0
C3ORF39	0	0	0	0	0	0	0	0	8	0	0
C3ORF45	0	0	0	0	0	0	0	0	0	0	0
C3ORF52	0	0	0	0	0	0	0	0	7	0	0
C3ORF62	0	0	0	0	0	0	0	0	13	0	0
C3orf52	0	0	0	0	0	0	0	0	10	0	0
C3orf62	0	0	0	0	0	0	0	0	13	0	0
C4A	0	0	0	0	0	0	0	1	12	0.88	0.88
C4B	0	0	0	0	0	0	0	1	12	0	0
C4BPA	0	0	0	0	0	0	0	0	23	0.857	0.857
C4BPB	0	0	0	0	0	2	129	0	0	0.218	0.218
C4ORF14	0	0	0	0	0	0	0	0	17	0	0
C4ORF17	0	0	0	0	0	0	0	0	58	0	0
C4ORF19	0	0	0	0	0	0	0	1	5	0	0
C4ORF26	0	0	0	0	0	0	0	0	10	0	0
C4ORF27	0	0	0	0	0	0	0	0	3	0	0
C4ORF33	0	0	0	0	0	0	0	0	3	0	0
C4ORF34	0	0	0	0	0	0	0	0	2	0	0
C4ORF39	0	0	0	0	0	0	0	0	8	0	0
C4ORF41	0	0	0	0	0	0	0	1	47	0	0
C4ORF42	0	0	0	0	0	0	0	0	13	0	0
C4ORF43	0	0	0	0	0	0	0	0	24	0	0
C4ORF46	0	0	0	0	0	0	0	1	8	0	0
C4ORF49	0	0	0	0	0	0	0	1	32	0	0
C4orf19	0	0	0	0	0	0	0	1	5	0	0
C4orf26	0	0	0	0	0	0	0	0	10	0	0
C4orf3	0	0	0	0	0	0	0	0	9	0	0
C4orf33	0	0	0	0	0	0	0	0	3	0	0
C4orf34	0	0	0	0	0	0	0	0	1	0	0
C4orf46	0	0	0	0	0	0	0	1	8	0	0
C4orf6	0	0	0	0	0	7	174	0	0	0	0
C5	0	0	0	0	0	6	221	1	2	0.865	0.865
C5AR1	0	1	0	1	0	16	200	0	2	0.39	0.39
C5ORF13	0	0	0	0	0	0	0	0	4	0	0
C5ORF20	0	0	0	0	0	0	0	0	10	0	0
C5ORF22	0	0	0	0	0	0	0	0	1	0	0
C5ORF24	0	0	0	0	0	0	0	0	3	0	0
C5ORF25	0	0	0	0	0	0	0	0	50	0	0
C5ORF30	0	0	0	0	0	0	0	0	20	0	0
C5ORF41	0	0	0	0	0	0	0	0	2	0	0
C5ORF42	0	0	0	0	0	0	0	0	32	0	0
C5ORF44	0	0	0	0	0	0	0	0	1	0	0
C5ORF54	0	0	0	0	0	0	0	1	16	0	0
C5ORF55	0	0	0	0	0	0	0	0	34	0	0
C5ORF60	0	0	0	0	0	0	0	0	9	0	0
C5ORF62	0	0	0	0	0	0	0	0	10	0	0
C5orf24	0	0	0	0	0	0	0	0	3	0	0
C5orf30	0	0	0	0	0	0	0	0	11	0	0
C5orf54	0	0	0	0	0	0	0	0	0	0	0
C5orf55	0	0	0	0	0	0	0	0	43	0	0
C5orf60	0	0	0	0	0	0	0	0	18	0	0
C6	0	0	0	0	0	0	0	1	81	0.822	0.822
C6ORF106	0	0	0	0	0	0	0	0	1	0	0
C6ORF108	0	0	0	0	0	0	0	1	22	0	0
C6ORF136	0	0	0	0	0	0	0	0	22	0	0
C6ORF15	0	0	0	0	0	0	0	0	0	0	0
C6ORF165	0	0	0	0	0	0	0	1	61	0	0
C6ORF167	0	0	0	0	0	0	0	1	26	0	0
C6ORF203	0	0	0	0	0	0	0	0	16	0	0
C6ORF204	0	0	0	0	0	0	0	0	3	0	0
C6ORF211	0	0	0	0	0	0	0	0	2	0	0
C6ORF226	0	0	0	0	0	0	0	0	13	0	0
C6ORF25	0	0	0	0	0	0	0	1	25	0	0
C6ORF47	0	0	0	0	0	0	0	1	3	0	0
C6ORF62	0	0	0	0	0	0	0	0	0	0	0
C6ORF97	0	0	0	0	0	0	0	0	6	0	0
C6orf165	0	0	0	0	0	0	0	1	52	0	0
C6orf226	0	0	0	0	0	0	0	0	24	0	0
C6orf54	0	0	0	0	0	0	0	0	0	0	0
C6orf57	0	0	0	0	0	0	0	0	3	0	0
C7	0	0	0	0	0	0	0	0	4	0.909	0.909
C7ORF25	0	0	0	0	0	0	0	2	81	0	0
C7ORF26	0	0	0	0	0	0	0	0	2	0	0
C7ORF27	0	0	0	0	0	0	0	0	144	0	0
C7ORF29	0	0	0	0	0	0	0	0	2	0	0
C7ORF30	0	0	0	0	0	0	0	0	2	0	0
C7ORF31	0	0	0	0	0	0	0	0	1	0	0
C7ORF34	0	0	0	0	0	0	0	0	1	0	0
C7ORF36	0	0	0	0	0	0	0	0	25	0	0
C7ORF42	0	0	0	0	0	0	0	0	145	0	0
C7ORF43	0	0	0	0	0	0	0	0	0	0	0
C7ORF49	0	0	0	0	0	0	0	0	0	0	0
C7ORF50	0	0	0	0	0	0	0	0	148	0	0
C7ORF53	0	0	0	0	0	0	0	0	1	0	0
C7ORF59	0	0	0	0	0	0	0	0	3	0	0
C7ORF64	0	0	0	0	0	0	0	2	66	0	0
C7orf23	0	0	0	0	0	0	0	0	3	0	0
C7orf25	0	0	0	0	0	0	0	0	1	0	0
C7orf31	0	0	0	0	0	0	0	0	1	0	0
C7orf49	0	0	0	0	0	0	0	0	0	0	0
C7orf50	0	0	0	0	0	0	0	0	4	0	0
C8A	0	0	0	0	0	0	0	0	1	0	0
C8B	0	0	0	0	0	0	0	0	2	0.126	0.126
C8G	0	0	0	0	0	0	0	0	0	0.607	0.607
C8ORF30A	0	0	0	0	0	0	0	0	25	0	0
C8ORF33	0	0	0	0	0	0	0	3	88	0	0
C8ORF34	0	0	0	0	0	0	0	0	12	0	0
C8ORF41	0	0	0	0	0	0	0	0	45	0	0
C8ORF48	0	0	0	0	0	0	0	0	27	0	0
C8ORF51	0	0	0	0	0	0	0	0	0	0	0
C8ORF71	0	0	0	0	0	0	0	0	6	0	0
C8ORF74	0	0	0	0	0	0	0	0	34	0	0
C8orf33	0	0	0	0	0	0	0	1	23	0	0
C8orf34	0	0	0	0	0	0	0	0	12	0	0
C8orf48	0	0	0	0	0	0	0	0	11	0	0
C9	0	0	0	0	0	0	4	0	2	0.204	0.204
C9ORF100	0	0	0	0	0	0	0	0	17	0	0
C9ORF102	0	0	0	0	0	0	0	0	0	0	0
C9ORF106	0	0	0	0	0	0	0	0	9	0	0
C9ORF114	0	0	0	0	0	0	0	0	35	0	0
C9ORF116	0	0	0	0	0	0	0	0	6	0	0
C9ORF123	0	0	0	0	0	0	0	0	2	0	0
C9ORF125	0	0	0	0	0	0	0	0	0	0	0
C9ORF156	0	0	0	0	0	0	0	0	2	0	0
C9ORF16	0	0	0	0	0	0	0	0	1	0	0
C9ORF163	0	0	0	0	0	0	0	0	0	0	0
C9ORF169	0	0	0	0	0	0	0	0	4	0	0
C9ORF171	0	0	0	0	0	0	0	0	18	0	0
C9ORF23	0	0	0	0	0	0	0	0	9	0	0
C9ORF24	0	0	0	0	0	0	0	0	6	0	0
C9ORF25	0	0	0	0	0	0	0	0	12	0	0
C9ORF30	0	0	0	0	0	0	0	0	19	0	0
C9ORF46	0	0	0	0	0	0	0	0	23	0	0
C9ORF7	0	0	0	0	0	0	0	0	0	0	0
C9ORF72	0	0	0	0	0	0	0	1	17	0	0
C9ORF78	0	0	0	0	0	0	0	0	16	0	0
C9ORF80	0	0	0	0	0	0	0	0	6	0	0
C9ORF82	0	0	0	0	0	0	0	0	9	0	0
C9ORF86	0	0	0	0	0	0	0	0	17	0	0
C9ORF89	0	0	0	0	0	0	0	1	4	0	0
C9ORF9	0	0	0	0	0	0	0	0	8	0	0
C9ORF91	0	0	0	0	0	0	0	1	10	0	0
C9ORF95	0	0	0	0	0	0	0	0	3	0	0
C9orf100	0	0	0	0	0	0	0	0	4	0	0
C9orf106	0	0	0	0	0	0	0	0	9	0	0
C9orf116	0	0	0	0	0	0	0	0	6	0	0
C9orf16	0	0	0	0	0	0	0	0	1	0	0
C9orf171	0	0	0	0	0	0	0	0	18	0	0
C9orf24	0	0	0	0	0	0	0	0	6	0	0
C9orf3	0	0	0	0	0	3	127	0	0	0	0
C9orf72	0	0	0	0	0	0	0	1	17	0	0
C9orf89	0	0	0	0	0	0	0	1	4	0	0
C9orf9	0	0	0	0	0	0	0	0	13	0	0
CA1	0	0	0	0	0	0	0	0	13	0.105	0.105
CA11	0	0	0	0	0	0	0	2	65	0.872	0.872
CA12	0	0	0	0	0	0	0	2	40	0.903	0.903
CA14	0	0	0	0	0	0	0	0	0	0.079	0.079
CA2	0	0	1	0	0	0	0	1	160	0.489	0.489
CA4	0	0	0	0	0	0	0	0	3	0	0
CA6	0	0	0	0	0	0	0	0	16	0.37	0.37
CA8	0	0	0	0	0	0	0	0	14	0.287	0.287
CA9	0	0	0	0	0	0	0	2	42	0.788	0.788
CAB39	0	0	0	0	0	0	0	2	28	0.396	0.396
CAB39L	0	0	0	0	0	0	0	1	8	0	0
CABC1	0	0	0	0	0	0	0	0	2	0	0
CABIN1	0	1	0	0	0	0	0	1	88	0.783	0.783
CABLES1	0	0	0	0	0	0	0	1	47	0.851	0.851
CABLES2	0	0	0	0	0	0	0	2	65	0.926	0.926
CABP1	0	0	0	0	0	0	0	0	5	0	0
CABP2	0	0	0	0	0	0	0	0	3	0.331	0.331
CABP4	0	0	1	0	0	0	126	0	0	0.169	0.169
CABP5	0	0	0	0	0	0	0	1	28	0.588	0.588
CABYR	0	0	1	0	0	0	0	0	7	0.875	0.875
CACFD1	0	0	0	0	0	0	0	0	3	0	0
CACHD1	0	0	0	0	0	0	0	0	7	0	0
CACNA1A	0	1	1	0	0	9	211	4	114	0.184	0.184
CACNA1B	0	0	0	0	0	1	118	0	4	0.798	0.798
CACNA1C	0	0	1	0	0	0	22	0	49	0.901	0.901
CACNA1D	1	0	1	0	0	1	46	1	1	0.899	0.899
CACNA1E	0	0	0	0	0	1	118	0	1	0.701	0.701
CACNA1F	0	0	1	0	0	1	162	0	29	0.459	0.459
CACNA1G	0	0	1	0	0	0	0	0	7	0.772	0.772
CACNA1H	0	0	1	0	0	0	73	0	10	0.791	0.791
CACNA1I	0	0	1	0	0	0	0	0	1	0.795	0.795
CACNA1S	0	0	1	0	0	0	65	0	31	0.331	0.331
CACNA2D1	0	0	0	0	0	1	46	0	0	0.842	0.842
CACNB1	0	0	1	0	0	0	0	0	8	0.297	0.297
CACNB2	0	0	1	0	0	0	26	0	11	0.075	0.075
CACNB3	0	0	1	0	0	1	46	0	0	0	0
CACNB4	0	0	1	0	0	0	0	0	12	0.808	0.808
CACNG1	0	0	0	0	0	0	65	0	1	0.122	0.122
CACNG2	0	0	0	0	0	0	0	0	6	0.399	0.399
CACYBP	0	1	1	0	0	0	0	1	177	0.931	0.931
CAD	0	0	0	0	0	0	0	1	176	0.746	0.746
CADM1	0	1	1	1	0	0	56	0	8	0.421	0.421
CADM4	0	0	0	0	0	0	0	0	7	0.817	0.817
CADPS	0	0	0	0	0	0	49	2	18	0.899	0.899
CADPS2	0	0	0	0	0	0	0	0	19	0.229	0.229
CAGE1	0	0	0	0	0	0	0	0	15	0.485	0.485
CALB1	0	0	0	0	0	0	0	1	30	0	0
CALCA	0	0	1	1	0	16	207	0	0	0	0
CALCB	0	0	0	0	0	1	104	0	0	0	0
CALCOCO1	0	0	0	0	0	0	0	1	103	0	0
CALCOCO2	0	0	0	0	0	0	0	4	241	0	0
CALCR	0	0	1	0	0	3	100	1	17	0	0
CALCRL	0	0	0	1	0	1	106	0	1	0	0
CALD1	0	0	0	0	0	7	163	1	51	0	0
CALM1	0	0	0	0	0	1	147	9	183	0	0
CALM2	0	0	0	0	0	0	0	2	39	0	0
CALM3	0	0	0	0	0	0	0	3	64	0	0
CALML3	0	0	0	0	0	0	0	0	15	0	0
CALML5	0	0	0	0	0	2	125	0	160	0	0
CALR	1	1	1	1	0	25	215	5	113	0	0
CALR3	0	0	1	0	0	0	0	0	8	0	0
CALU	0	0	1	0	0	0	0	0	27	0	0
CALY	0	0	0	0	0	1	118	0	0	0	0
CAMK1	0	0	1	0	0	0	0	0	48	0.928	0.928
CAMK1D	0	1	1	0	0	0	0	1	42	0.678	0.678
CAMK1G	0	0	0	0	0	0	0	0	33	0.712	0.712
CAMK2A	0	1	0	0	1	3	76	4	149	0.314	0.314
CAMK2B	0	1	1	0	1	0	0	0	86	0.271	0.271
CAMK2D	0	1	1	1	1	0	0	1	84	0.775	0.775
CAMK2G	0	0	1	0	1	0	0	3	107	0.581	0.581
CAMK2N1	0	0	0	0	0	5	152	0	0	0.676	0.676
CAMK4	0	0	1	0	0	0	0	0	49	0.877	0.877
CAMKK1	0	0	0	0	0	0	0	0	33	0.622	0.622
CAMKK2	0	0	0	0	0	9	178	0	90	0.912	0.912
CAMKV	0	0	0	0	0	0	0	0	35	0.336	0.336
CAMLG	0	0	0	0	0	4	148	1	35	0.648	0.648
CAMP	0	0	0	1	0	0	32	0	30	0.777	0.777
CAMSAP1	0	0	1	0	0	0	0	0	25	0	0
CAMSAP2	0	0	0	0	0	0	0	0	6	0	0
CAMSAP3	0	0	0	0	0	0	0	0	23	0	0
CAMTA2	0	0	0	0	0	0	0	0	36	0.939	0.939
CAND1	0	0	1	0	0	6	155	0	71	0.901	0.901
CAND2	0	0	0	0	0	0	0	1	5	0.479	0.479
CANT1	1	0	0	0	0	3	147	1	1	0.939	0.939
CANX	0	0	0	0	0	1	98	2	170	0.885	0.885
CAP1	0	0	1	0	0	1	97	0	21	0	0
CAP2	0	0	1	0	0	1	97	1	29	0	0
CAPG	0	0	0	0	0	0	1	0	12	0	0
CAPN1	0	0	0	1	0	6	181	5	179	0	0
CAPN10	0	1	0	0	0	0	0	1	11	0	0
CAPN11	0	0	0	0	0	0	0	1	24	0	0
CAPN2	0	0	1	0	0	0	0	1	21	0	0
CAPN3	0	1	1	0	0	4	170	0	23	0	0
CAPN7	0	0	0	0	0	0	0	1	12	0	0
CAPN9	0	0	0	0	0	0	104	0	0	0	0
CAPNS1	0	0	0	1	0	6	181	3	98	0	0
CAPNS2	0	0	0	0	0	0	0	0	1	0	0
CAPRIN1	0	0	1	0	0	0	0	0	41	0	0
CAPRIN2	0	0	1	0	0	0	0	0	3	0	0
CAPS	0	0	0	0	0	5	138	0	0	0	0
CAPZA1	0	0	0	0	0	20	203	0	149	0	0
CAPZA2	0	0	0	0	0	21	203	0	4	0	0
CAPZB	0	0	1	0	0	7	163	0	36	0	0
CARD10	0	1	0	0	0	1	36	1	27	0.896	0.896
CARD11	1	1	1	1	0	1	1	3	155	0.763	0.763
CARD14	0	1	0	0	0	0	1	1	5	0.845	0.845
CARD16	0	1	0	0	0	0	0	0	5	0	0
CARD6	0	1	0	0	0	0	0	0	3	0.937	0.937
CARD8	0	1	0	0	0	2	21	0	32	0	0
CARD9	0	1	0	0	0	0	0	4	113	0.397	0.397
CARHSP1	0	0	0	0	0	5	138	1	95	0.661	0.661
CARKD	0	0	0	0	0	0	0	0	30	0.095	0.095
CARM1	0	0	1	1	0	0	0	17	242	0.893	0.893
CARNS1	0	0	0	0	0	0	0	0	3	0	0
CARS	1	0	0	0	0	1	1	1	25	0.862	0.862
